E_MeV,E_keV,H_Z1,He_Z2,Li_Z3,Be_Z4,B_Z5,C_Z6,N_Z7,O_Z8,F_Z9,Ne_Z10,Na_Z11,Mg_Z12,Al_Z13,Si_Z14,P_Z15,S_Z16,Cl_Z17,Ar_Z18,K_Z19,Ca_Z20,Sc_Z21,Ti_Z22,V_Z23,Cr_Z24,Mn_Z25,Fe_Z26,Co_Z27,Ni_Z28,Cu_Z29,Zn_Z30,Zr_Z40,Sn_Z50,Ba_Z56,W_Z74,Pt_Z78,Au_Z79,Hg_Z80,Pb_Z82,Th_Z90,U_Z92,Tl_Z81
0.08,80.0,0.3091,0.1562,0.1356,0.1401,0.1472,0.161,0.1639,0.1678,0.1639,0.1781,0.1796,0.1951,0.2018,0.2228,0.2324,0.2585,0.2696,0.276,0.3251,0.3656,0.3753,0.4052,0.4371,0.4905,0.5306,0.5952,0.6414,0.7306,0.763,0.8364,1.721,3.029,3.963,7.81,8.731,2.185,2.259,2.419,3.178,3.395,2.332
0.1,100.0,0.2944,0.1486,0.1289,0.1328,0.1391,0.1514,0.1529,0.1551,0.1496,0.16,0.1585,0.1686,0.1704,0.1835,0.1865,0.202,0.205,0.2043,0.2345,0.2571,0.2577,0.2721,0.2877,0.3166,0.3367,0.3717,0.3949,0.444,0.4584,0.4973,0.9658,1.676,2.196,4.438,4.993,5.158,5.279,5.549,1.83,1.954,5.396
0.15,150.0,0.2651,0.1336,0.1158,0.119,0.1243,0.1347,0.1353,0.1361,0.1298,0.137,0.1335,0.1394,0.1378,0.1448,0.1432,0.1506,0.148,0.1427,0.1582,0.1674,0.1619,0.1649,0.1682,0.1788,0.1838,0.1964,0.2023,0.2208,0.2217,0.2341,0.379,0.6091,0.7828,1.581,1.795,1.86,1.909,2.014,2.472,2.591,1.957
0.2,200.0,0.2429,0.1224,0.106,0.1089,0.1136,0.1229,0.1233,0.1237,0.1176,0.1236,0.1199,0.1245,0.1223,0.1275,0.125,0.1302,0.1266,0.1205,0.1319,0.1376,0.131,0.1314,0.1318,0.1378,0.1391,0.146,0.1476,0.1582,0.1559,0.1617,0.2237,0.326,0.4046,0.7844,0.8896,0.9214,0.9456,0.9985,1.234,1.298,0.9694
0.3,300.0,0.2112,0.1064,0.0921,0.09463,0.09862,0.1066,0.1068,0.107,0.1015,0.1064,0.1029,0.1065,0.1042,0.1082,0.1055,0.1091,0.1054,0.09953,0.108,0.1116,0.1052,0.1043,0.1034,0.1067,0.1062,0.1099,0.1094,0.1154,0.1119,0.1141,0.1318,0.1639,0.1891,0.3238,0.3625,0.3744,0.3834,0.4031,0.4939,0.5192,0.3922
0.4,400.0,0.1893,0.09535,0.08249,0.08471,0.08834,0.09546,0.09557,0.09566,0.09073,0.09502,0.09185,0.09492,0.09276,0.09614,0.09359,0.09665,0.09311,0.08776,0.09495,0.09783,0.09193,0.09081,0.08965,0.09213,0.09133,0.094,0.09311,0.09765,0.09413,0.09539,0.1018,0.1156,0.1265,0.1925,0.2118,0.218,0.2224,0.2323,0.2789,0.2922,0.2267
0.5,500.0,0.1729,0.08707,0.07532,0.07739,0.08065,0.08715,0.08719,0.08729,0.08274,0.08664,0.08372,0.08647,0.08445,0.08748,0.08511,0.08781,0.08453,0.07958,0.086,0.08851,0.08305,0.08191,0.08074,0.08281,0.08192,0.08414,0.08315,0.08698,0.08362,0.0845,0.08693,0.09374,0.09923,0.1378,0.1492,0.153,0.1555,0.1614,0.1895,0.1976,0.158
0.6,600.0,0.1599,0.08054,0.06968,0.07155,0.0746,0.08058,0.08063,0.0807,0.07649,0.08006,0.07736,0.07988,0.07802,0.08077,0.07854,0.08102,0.07795,0.07335,0.07922,0.08148,0.07639,0.07529,0.07414,0.07598,0.07509,0.07704,0.07604,0.07944,0.07625,0.07695,0.07756,0.08113,0.0841,0.1093,0.1168,0.1194,0.121,0.1248,0.1435,0.149,0.12259999999999999
0.8,800.0,0.1405,0.07076,0.06121,0.06286,0.06549,0.07076,0.07081,0.07087,0.06717,0.07029,0.06788,0.07008,0.06841,0.07082,0.06884,0.07098,0.06826,0.06419,0.06929,0.07122,0.06675,0.06572,0.06466,0.0662,0.06537,0.06699,0.06604,0.06891,0.06605,0.06656,0.06571,0.06662,0.06744,0.08066,0.08456,0.08603,0.08679,0.0887,0.09861,0.1016,0.08750999999999999
1.0,1000.0,0.1263,0.06362,0.05503,0.05652,0.0589,0.06361,0.06364,0.06372,0.06037,0.06316,0.061,0.06296,0.06146,0.06361,0.06182,0.06373,0.06128,0.05762,0.06216,0.06388,0.05985,0.05891,0.05794,0.0593,0.05852,0.05995,0.05906,0.0616,0.05901,0.05941,0.0581,0.058,0.05803,0.06618,0.06857,0.06953,0.06993,0.07102,0.07709,0.07896,0.07031
